Product ID,SKU,Name,Product URL,Price,Thumbnail URL,Search Keywords,Description,Category,Category ID,Brand,Child SKU,Child Price,Color,Color Family,Color Swatches,style-size.description,Season,Faset attributes,Review Avg,Review Count,Inventory Count
dash-test,dash-test,test for style-code w/ dash,https://devbr4wam.fdm4.com/br4_b2bbase/product/dash-test/test-for-style-code-w-dash.html?color=1,3,https://devbr4wam.fdm4.com/prodimg/thumb/dash-test_th.jpg,dash-test   test for style-code w dash   AmeriPride   ONE   11   Black,,AmeriPride|Black|New|Activewear TG7,AmeriPride|Black|New|Activewear TG7,AmeriPride,dash-test1ONE,3,,Black,[{color: family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/dash-test_th.jpg price:0}],ONE,,,,0,0
758,758,Dri-Fit Tennis Qtr,https://devbr4wam.fdm4.com/br4_b2bbase/product/0758/Dri-Fit-Tennis-Qtr.html?color=Wh,4,,0758   Dri-Fit Tennis Qtr   Active Wear   NIKE   WHITE   White   NEUTRALS,,NIKE|Active Wear|White|NEUTRALS|Division,NIKE|Active Wear|White|NEUTRALS|Division,NIKE,0758Wh0,4,WHITE,NEUTRALS,[{color:WHITE family:White swatch_hex:# thumbnail: price:0}],,,,,0,0
29,29,IZOD Mens GraphCheckSportShirt,https://devbr4wam.fdm4.com/br4_b2bbase/product/0029/IZOD-Mens-GraphCheckSportShirt.html?color=BL,4.99,,0029   IZOD Mens GraphCheckSportShirt   Product Category 4   IZOD   IZOD Mens GraphCheckSportShirt   S   M   L   XL   2XL   3XL   S to XL   2545   S to XL   S to XL   6   10   EVENING BLUE   DARKS,IZOD Mens GraphCheckSportShirt,IZOD|DARKS|Product Category 4,IZOD|DARKS|Product Category 4,IZOD,0028BL2|0028BL3|0028BL4|0028BL5|0028BL7|0028BL8,4.99,EVENING BLUE,DARKS,[{color:EVENING BLUE family: swatch_hex:#656887 thumbnail: price:4.99}],S|M|L|XL|2XL|3XL,,,,0,0
1902,1902,IZOD Mens GraphCheckSportShirt,https://devbr4wam.fdm4.com/br4_b2bbase/product/1902/IZOD-Mens-GraphCheckSportShirt.html?color=BL,4.99,,1902   IZOD Mens GraphCheckSportShirt   Product Category 4   IZOD   IZOD Mens GraphCheckSportShirt   S   M   L   XL   2XL   3XL   S to XL   2545   S to XL   S to XL   6   10   EVENING BLUE   DARKS,IZOD Mens GraphCheckSportShirt,IZOD|DARKS|Product Category 4,IZOD|DARKS|Product Category 4,IZOD,1902BL2|1902BL3|1902BL4|1902BL5|1902BL7|1902BL8,4.99,EVENING BLUE,DARKS,[{color:EVENING BLUE family: swatch_hex:#656887 thumbnail: price:0}],S|M|L|XL|2XL|3XL,,,,0,0
1,1,clothes,https://devbr4wam.fdm4.com/br4_b2bbase/product/1/clothes.html?color=BK,5,https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg,1   clothes   bmg   S   M   L   XL   2XL   3XL   4XL   5XL   S to XL   S to XL   S to XL   S to XL   S to XL   S to XL   S to XL   S to XL   AQUATIC BLUE   AQUAMARINE   ASH   BLACK   BLUESTONE   CHARCOAL HEATHER   CARDINAL   CALIFORNIA LIME   COPPER   CYPRESS   DAFFODIL   DEEP FOREST GREEN   DENIM   DEEP NAVY   DEEP ROYAL   DEEP RED   ECRU   EGGPLANT   ER   ESPRESSO   FOREST GREEN   FL   FN   GOLD   GOLD NUGGET   GRAPHITE   GREY   HONEY   INDIGO   JADE   KELLY   LIGHT BLUE   LEAF   LIME   LAVENDER   FRESH MINT   MOSS   MAROON   NF   NATURAL   NAVY   OATMEAL   ORANGE   ORANGE SHERBET   PEACOCK   PEBBLE   PALE PINK   PAPRIKA   DEEP PLUM   PINE   PURPLE   PINK   RASPBERRY   ROYAL   RED   RF   RED OAK   SAND   SKY   STONEWASH BLUE   STONEWASH GREEN   LIGHT STEEL   TEAL   TROPICAL PINK   WATERMELON   WHITE   WL   YELLOW   DARKS,,bmg|LIGHTS|MISC|NEUTRALS|PREMIUMS|DARKS|New|Division|Clothes,bmg|LIGHTS|MISC|NEUTRALS|PREMIUMS|DARKS|New|Division|Clothes,bmg,1ASXL|1BK2,5,ASH|BLACK,LIGHTS DARKS,[{color:AQUATIC BLUE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:AQUAMARINE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:ASH family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:BLACK family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:BLUESTONE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:CHARCOAL HEATHER family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:CARDINAL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:CALIFORNIA LIME family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:COPPER family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:CYPRESS family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:DAFFODIL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:DEEP FOREST GREEN family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:DENIM family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:DEEP NAVY family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:DEEP ROYAL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:DEEP RED family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:ECRU family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:EGGPLANT family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:ER family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:ESPRESSO family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:FOREST GREEN family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:FL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:FN family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:GOLD family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:GOLD NUGGET family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:GRAPHITE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:GREY family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:HONEY family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:INDIGO family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:JADE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:KELLY family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:LIGHT BLUE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:LEAF family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:LIME family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:LAVENDER family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:FRESH MINT family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:MOSS family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:MAROON family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:NF family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:NATURAL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:NAVY family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:OATMEAL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:ORANGE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:ORANGE SHERBET family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:PEACOCK family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:PEBBLE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:PALE PINK family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:PAPRIKA family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:DEEP PLUM family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:PINE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:PURPLE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:PINK family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:RASPBERRY family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:ROYAL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:RED family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:RF family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:RED OAK family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:SAND family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:SKY family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:STONEWASH BLUE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:STONEWASH GREEN family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:LIGHT STEEL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:TEAL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:TROPICAL PINK family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:WATERMELON family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:WHITE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:WL family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0} {color:YELLOW family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg price:0}],XL|S,,,,0,0
28,28,IZOD Mens GraphCheckSportShirt,https://devbr4wam.fdm4.com/br4_b2bbase/product/0028/IZOD-Mens-GraphCheckSportShirt.html?color=GN,5.49,https://devbr4wam.fdm4.com/prodimg/thumb/0028.png,0028   IZOD Mens GraphCheckSportShirt   Tees   Gildan   M   L   XL   2XL   3XL   S to XL   S to XL   S to XL   2XL-TTM   3XL-TTM   BLUE SMOKE   Blue   SOFT GREEN   Green   DARKS,,Gildan|Blue|Green|DARKS|New|Tees,Gildan|Blue|Green|DARKS|New|Tees,Gildan,0028BSM2|0028BSM3|0028BSM4|0028BSM5|0028BSM7|0028BSM8|0028GN2|0028GN3|0028GN4|0028GN5|0028GN7|0028GN8,5.49|20.49,BLUE SMOKE|SOFT GREEN,DARKS,[{color:BLUE SMOKE family:Blue swatch_hex:#1C2731 1C2731 1C2731 FFFFFF thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/0028bsm.png price:10.99} {color:SOFT GREEN family:Green swatch_hex:#B1BDAE thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/0028gn.png price:10.99}],M|L|XL|2XL|3XL,,,,0,0
tKIT,tKIT,Test KIT,https://devbr4wam.fdm4.com/br4_b2bbase/product/tKIT/Test-KIT.html?color=AQB,6,https://devbr4wam.fdm4.com/prodimg/thumb/tkit_th.jpg,tKIT   Test KIT   SHIRTS   BELLA,,BELLA|SHIRTS,BELLA|SHIRTS,BELLA,tKITAQB2,6,,,[],,,,,0,0
90,90,Nike Knee Sleeve,https://devbr4wam.fdm4.com/br4_b2bbase/product/090/Nike-Knee-Sleeve.html?color=BK,7.5,,090   Nike Knee Sleeve   Product Category 4   NIKE   L   XL   S to XL   S to XL   BLACK   Black   DARKS,,NIKE|Black|DARKS|Division|Product Category 4,NIKE|Black|DARKS|Division|Product Category 4,NIKE,090BK4|090BK5,7.5,BLACK,DARKS,[{color:BLACK family:Black swatch_hex:# thumbnail: price:0}],L|XL,,,,0,0
31221,31221,31221,https://devbr4wam.fdm4.com/br4_b2bbase/product/31221/31221.html?color=AQB,7.99,,31221   31221   Athletic Wear   Hanes   HANES BEEFY TEE   2XL   2XL-TTM,HANES BEEFY TEE,Hanes|Athletic Wear,Hanes|Athletic Wear,Hanes,DSM31221,7.99,,,[],2XL,,,,0,0
TTM002,TTM002,Tim's Test 002,https://devbr4wam.fdm4.com/br4_b2bbase/product/TTM002/Tims-Test-002.html?color=33,7.99,https://devbr4wam.fdm4.com/prodimg/thumb/ttm003_th.jpg,TTM002   Tim's Test 002   Athletic Wear   BELLA   DevinTESTSize   S   M   L   XL   2XL   3XL   XS   XS-XL   XS-XL   XS-XL   XS-XL   XS-XL   XS-XL   XS-XL   XS-XL   WHITE   PINK   BLACK   BABY BLUE   RED   NAVY   All Colors,,BELLA|WHITES|All Colors|Development|Athletic Wear,BELLA|WHITES|All Colors|Development|Athletic Wear,BELLA,TTM00200XS|TTM00200S|TTM00200M|TTM00200L|TTM00200XL|TTM002002XL|TTM002003XL|TTM00200DR|TTM00207XS|TTM00207S|TTM00207M|TTM00207L|TTM00207XL|TTM002072XL|TTM002073XL|TTM00230XS|TTM00230S|TTM00230M|TTM00230L|TTM00230XL|TTM002302XL|TTM002303XL|TTM00231XS|TTM00231S|TTM00231M|TTM00231L|TTM00231XL|TTM002312XL|TTM002313XL|TTM00232XS|TTM00232S|TTM00232M|TTM00232L|TTM00232XL|TTM002322XL|TTM002323XL|TTM00233XS|TTM00233S|TTM00233M|TTM00233L|TTM00233XL|TTM002332XL|TTM002333XL,7.99|27.99,WHITE|PINK|BLACK|BABY BLUE|RED|NAVY,WHITES All Colors,[{color:WHITE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/ttm003_th.jpg price:4.77} {color:PINK family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/ttm003_th.jpg price:4.77} {color:BLACK family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/ttm003_th.jpg price:4.77} {color:BABY BLUE family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/ttm003_th.jpg price:4.77} {color:RED family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/ttm003_th.jpg price:4.77} {color:NAVY family: swatch_hex:# thumbnail:https://devbr4wam.fdm4.com/prodimg/thumb/ttm003_th.jpg price:4.77}],XS|S|M|L|XL|2XL|3XL|DevinTESTSize,YEAR ROUND,,,0,0
